Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
True,False,False,1000,1.1,False,False,2,94.51085782571737,0.813853707930322,0.8933203153725031,0.841405229445734,0.988112920163187,0.9127972083261456,0.9489271967646011,527.5,0.5452380952380952,0.6583333333333333,0.575,3.3,0.9941718921092695,0.9924248606011151,0.9932840519418245,171.7,0.9930346995084827,0.9985212518791855,0.99576557803494,270.6,0.5198800021857952,0.8496734693877552,0.6444122631991556,49.9,0.8426846383771016,0.9481717687074831,0.8910422867338831,48.2
True,False,False,1000,1.1,False,False,1,94.5015294675084,0.8048629107056087,0.894852664480279,0.8375261521516961,0.9889207988648735,0.9116579696394685,0.9486807366534613,527.5,0.4935714285714285,0.6583333333333333,0.5492857142857142,3.3,0.9953213173966257,0.9924248606011151,0.9938620866239054,171.7,0.9933943544520792,0.9985212518791855,0.9959477200519444,270.6,0.5201743594524241,0.8496326530612244,0.6446504924303363,49.9,0.8377952054962206,0.9585459183673469,0.8927301628648149,48.2
True,False,False,1000,1.1,False,False,0.5,94.57621730284154,0.8053495848238315,0.9002552318065117,0.8394371433230445,0.9885375153236724,0.9133639526191709,0.9494275887109451,527.5,0.4841666666666667,0.6916666666666667,0.5532756132756133,3.3,0.9953213173966257,0.9918434652522781,0.993570541434401,171.7,0.9933943544520792,0.9985212518791855,0.9959477200519444,270.6,0.5243664023617141,0.8496734693877551,0.6480105741030575,49.9,0.8463112527422323,0.9564625850340137,0.8963908223623056,48.2
True,False,False,1000,1.1,False,False,0.25,94.74427581978067,0.8097398496072185,0.9016463315884469,0.8430943490188515,0.9877775519808359,0.9169660312805472,0.9510172957471058,527.5,0.4958333333333334,0.7,0.5643073593073593,3.3,0.9982351712614872,0.9918434652522781,0.9950197117017454,171.7,0.9933983945296486,0.9988916222495557,0.9961332412441729,270.6,0.5312753912806756,0.843673469387755,0.6514725866010719,49.9,0.8519192552573294,0.9585034013605442,0.900615899511654,48.2
True,False,False,1000,1.1,False,False,0.1,94.9683044859735,0.8200432588694149,0.9021708564821793,0.8503374911844007,0.9874284949448014,0.9209479759645793,0.9530000564189178,527.5,0.5375,0.6916666666666667,0.5897835497835497,3.3,0.9988164022831529,0.9912586699306406,0.9950093302733144,171.7,0.9937606843079969,0.9988916222495557,0.9963160529009457,270.6,0.5414049539351838,0.8496734693877552,0.6609661051939789,49.9,0.8613490177453533,0.9605867346938775,0.9069498525356978,48.2
True,False,False,1000,1.1,False,False,0.01,95.13634558300932,0.8490941472782285,0.8950037788438767,0.8607641547785599,0.9845154381542727,0.9260677218101316,0.9543733773688002,527.5,0.7,0.6583333333333334,0.6459523809523808,3.3,0.9988164022831529,0.9906772745818031,0.9947143601990573,171.7,0.9937606843079969,0.9988916222495557,0.9963160529009457,270.6,0.5509072441676223,0.8396326530612246,0.6648947617329001,49.9,0.8665651147563267,0.9564200680272108,0.9083339955172753,48.2
True,False,False,1000,1.1,False,False,0.001,95.0709773959335,0.8501808899874671,0.8892544815687593,0.8597379330691786,0.9813930578597064,0.9281535708124892,0.954007075830724,527.5,0.71,0.6583333333333334,0.6542857142857141,3.3,0.9988164022831529,0.9906772745818031,0.9947143601990573,171.7,0.9937606843079969,0.9988916222495557,0.9963160529009457,270.6,0.5487867338434943,0.8155510204081633,0.6554875048483506,49.9,0.8683284616304521,0.9439200680272111,0.9036168903502795,48.2
True,False,False,1000,1.1,True,False,2,94.04405667739735,0.7703797119369511,0.6542831389256006,0.6874221130237841,0.9055443542765834,0.9933651026392962,0.9474082908666718,527.5,0.0,0.0,0.0,3.3,0.9941719314153135,0.9924248606011151,0.9932857518851268,171.7,0.9892514974699406,0.9848544485444852,0.9870285627684503,270.6,0.7576005137793064,0.2664489795918367,0.39158066578313167,49.9,0.9757099746805629,0.6886054421768707,0.8052294068393231,48.2
True,False,False,1000,1.1,True,False,1,95.6124141198768,0.7771112385222956,0.7164048911346846,0.7400162218925066,0.9367425945202956,0.9899531366798918,0.9625961565378468,527.5,0.0,0.0,0.0,3.3,0.9947433220205888,0.9924248606011151,0.993573931494744,171.7,0.9918250542694311,0.9852248189148556,0.9884977268231822,270.6,0.770033259369822,0.488734693877551,0.5951360004896498,49.9,0.9693232009536358,0.8420918367346939,0.900293516009618,48.2
True,False,False,1000,1.1,True,False,0.5,96.312563582647,0.777972656391346,0.7464160242291736,0.7600132877465541,0.952664688355229,0.9871100713012476,0.9695657073579869,527.5,0.0,0.0,0.0,3.3,0.9964943458817317,0.9924248606011151,0.994443406442749,171.7,0.9929294024279708,0.9852248189148556,0.9890467682883,270.6,0.7671369278598048,0.6029795918367348,0.6731312513995347,49.9,0.9586105738233398,0.9107568027210885,0.9338925929907538,48.2
True,False,False,1000,1.1,True,False,0.25,96.41524520255864,0.774559801067157,0.7540221176251848,0.7626330055062588,0.9574812291919225,0.9848348283594961,0.9709486931482765,527.5,0.0,0.0,0.0,3.3,0.9982316069615156,0.9918400652794777,0.9950110352159431,171.7,0.9936701122284525,0.9852248189148556,0.9894130081340936,270.6,0.7728292016084101,0.6390612244897959,0.6969305467542644,49.9,0.9251466564126412,0.9231717687074829,0.9234947497849746,48.2
True,False,False,1000,1.1,True,False,0.1,96.90070306729656,0.8842045407787049,0.8152495860507548,0.8397356279135803,0.9615468612251487,0.9840761744580527,0.9726562965807641,527.5,0.6,0.325,0.41238095238095235,3.3,0.9982316069615156,0.9912586699306406,0.9947194900264387,171.7,0.9944674258739485,0.996307229738964,0.9953795569930548,270.6,0.808211360346007,0.6571428571428571,0.7233758220046761,49.9,0.9427699902656098,0.9377125850340138,0.9399016494955962,48.2
True,False,False,1000,1.1,True,False,0.01,96.98470184093537,0.9034687380237912,0.849126811341333,0.8668625907340901,0.9617369408170928,0.9848348283594961,0.9731282247673108,527.5,0.6916666666666667,0.5416666666666667,0.5716666666666667,3.3,0.9982316069615156,0.9906772745818031,0.9944245199521816,171.7,0.9952272718940289,0.9988916222495557,0.9970520328226249,270.6,0.8156215304904977,0.647142857142857,0.7206185222463584,49.9,0.9583284113129457,0.9315476190476192,0.9442855779493978,48.2
True,False,False,1000,1.1,True,False,0.001,96.93800779018075,0.9044625627739729,0.8459239916504068,0.8651794517340441,0.9599987858671029,0.9857828762003333,0.9726967217667981,527.5,0.6916666666666667,0.5416666666666667,0.5716666666666667,3.3,0.9982316069615156,0.9906772745818031,0.9944245199521816,171.7,0.9952272718940289,0.9988916222495557,0.9970520328226249,270.6,0.8235018661339912,0.6311020408163265,0.7131654541466623,49.9,0.9581491791205312,0.9274234693877551,0.9420713150493313,48.2
True,False,False,1000,1.1,False,True,2,95.1923679919729,0.7820587775015861,0.694801504942184,0.7241388326650243,0.9244488137581974,0.9941233971594503,0.958003898116347,527.5,0.0,0.0,0.0,3.3,0.9941850132273744,0.9918400652794777,0.9929922675202422,171.7,0.9933065052471985,0.9852248189148556,0.9892302002042918,270.6,0.7981111581655059,0.388734693877551,0.5185938080080128,49.9,0.982301174611241,0.8088860544217686,0.8860128221412523,48.2
True,False,False,1000,1.1,False,True,1,96.17255110999623,0.7854420732539429,0.7361101282448774,0.7539844140439309,0.9455884859921577,0.9905227560232304,0.967520211464666,527.5,0.0,0.0,0.0,3.3,0.996483903108131,0.9918400652794777,0.9941432761881497,171.7,0.9940459086103572,0.9852248189148556,0.989595720481818,270.6,0.8768243194529347,0.5508163265306123,0.6742064851438571,49.9,0.8997098223600781,0.8982568027210884,0.8984407909850948,48.2
True,False,False,1000,1.1,False,True,0.5,96.42457356076758,0.7769537464546634,0.7533436108306646,0.7628119963330631,0.9559244196321857,0.9855934822609393,0.9705153583000659,527.5,0.0,0.0,0.0,3.3,0.9982316069615156,0.9912586699306406,0.9947194900264387,171.7,0.9944176454318677,0.9852248189148556,0.9897798634210438,270.6,0.8236564116079546,0.6430612244897959,0.7205773283354571,49.9,0.889492395094458,0.914923469387755,0.9012799379153732,48.2
True,False,False,1000,1.1,False,True,0.25,96.4619044135067,0.7882741291127892,0.7621561797107199,0.7736989218643704,0.9592077808847488,0.9835076332585819,0.971187032076584,527.5,0.025,0.025,0.025,3.3,0.9982316069615156,0.9912586699306406,0.9947194900264387,171.7,0.9947866492356494,0.9848544485444852,0.9897771084393682,270.6,0.8070057979508782,0.663061224489796,0.7265780704325023,49.9,0.9454129396439427,0.9252551020408163,0.9349318302113296,48.2
True,False,False,1000,1.1,False,True,0.1,96.56457732346671,0.8369254649217819,0.8273933680818402,0.821757909163756,0.961318667877431,0.9829394514404001,0.9719846487770832,527.5,0.3181818181818182,0.41666666666666663,0.31412698412698414,3.3,0.9982316069615156,0.9906772745818031,0.9944245199521816,171.7,0.9947906598236015,0.9855938226048926,0.9901474725983764,270.6,0.8025781354129947,0.6590612244897959,0.7225120736508843,49.9,0.9464519012733298,0.9294217687074828,0.9373517558770267,48.2
True,False,False,1000,1.1,False,True,0.01,96.72329006229357,0.9030440241374235,0.8415343940822604,0.8651287927525768,0.9579230606740234,0.9829398108216891,0.9702489450479514,527.5,0.7083333333333333,0.5333333333333333,0.5916666666666667,3.3,0.9982316069615156,0.9906772745818031,0.9944245199521816,171.7,0.9948609420381114,0.9985212518791855,0.9966836999736236,270.6,0.8136664761234347,0.635061224489796,0.7115556909281312,49.9,0.9452487256941227,0.9086734693877551,0.9261932339469068,48.2
True,False,False,1000,1.1,False,True,0.001,96.62060844238192,0.9163182965084868,0.827528913884316,0.8581194443591489,0.9554833081947857,0.9836977459605543,0.9693639650371428,527.5,0.7916666666666667,0.4749999999999999,0.5673809523809524,3.3,0.9982316069615156,0.9906772745818031,0.9944245199521816,171.7,0.9948609420381114,0.9985212518791855,0.9966836999736236,270.6,0.8144762884532009,0.6190204081632653,0.7015950443348644,49.9,0.9431909667366416,0.8982568027210884,0.919268484476129,48.2
True,False,False,1000,1.2,False,False,2,93.31586117033879,0.7768710854855426,0.8683970128886024,0.8064275910811345,0.9909860663435099,0.8942182738197918,0.9400724486947138,527.5,0.40071428571428563,0.5166666666666666,0.43207792207792206,3.3,0.989002842324904,0.9930062559499524,0.9909820593405879,171.7,0.9918182829066255,0.984484078174115,0.9881232363605227,270.6,0.46799987657833253,0.8677551020408163,0.6070464059646801,49.9,0.8207051590455976,0.9542517006802722,0.8802634740483797,48.2
True,False,False,1000,1.2,False,False,1,93.59599934501166,0.7826713602877863,0.8845101036427938,0.816973514249154,0.991593505455987,0.8925115720775114,0.9394064913436363,527.5,0.3946428571428572,0.5999999999999999,0.4652380952380952,3.3,0.9907403070379031,0.9930062559499524,0.991851589993672,171.7,0.991945035707446,0.9974101407680742,0.994657096842895,270.6,0.4671127363749039,0.8657142857142857,0.6058328217486812,49.9,0.8599937200076203,0.9584183673469386,0.9048549903279431,48.2
True,False,False,1000,1.2,False,False,0.5,93.64267597586299,0.7904797331155637,0.9028556423633324,0.8289543121762615,0.991178591251664,0.8928903599562993,0.9394310757332722,527.5,0.44297619047619047,0.7166666666666666,0.5396031746031745,3.3,0.9918798414801573,0.9930062559499524,0.9924262784942662,171.7,0.9923088521158782,0.9985212518791855,0.9953999671859908,270.6,0.46844652828784134,0.8597142857142858,0.6055177545155258,49.9,0.856088395081651,0.9563350340136054,0.9013476225253388,48.2
True,False,False,1000,1.2,False,False,0.25,93.80136258483495,0.7934007638805163,0.9039676653573542,0.8312888762520643,0.9907915392075483,0.895732706572365,0.940832939875533,527.5,0.45130952380952377,0.7166666666666666,0.5443650793650793,3.3,0.9965009506524934,0.9924248606011151,0.9944433819622931,171.7,0.9923128921934478,0.9988916222495557,0.9955854883782195,270.6,0.4746266312423527,0.8637551020408163,0.6119294816415397,49.9,0.8548630461777325,0.9563350340136054,0.9005768862897208,48.2
True,False,False,1000,1.2,False,False,0.1,93.96006661371017,0.7930802493532843,0.9018990099870926,0.8304803680153784,0.990819844663563,0.8981966246909321,0.9421999689180101,527.5,0.4342857142857143,0.6916666666666667,0.5244660894660894,3.3,0.9982419319010436,0.9924248606011151,0.9953112420656618,171.7,0.9923128921934478,0.9988916222495557,0.9955854883782195,270.6,0.48225535073398695,0.8717959183673468,0.6203078482717717,49.9,0.8605657623419496,0.9584183673469389,0.9050115709925178,48.2
True,False,False,1000,1.2,False,False,0.01,94.10009650626421,0.8055991597469279,0.8981044044127027,0.8339716203375598,0.9898122710962582,0.9004715082513943,0.9429878637225368,527.5,0.5,0.6583333333333333,0.5338095238095237,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9923128921934478,0.9988916222495557,0.9955854883782195,270.6,0.487348813210852,0.8738367346938777,0.6251039849707318,49.9,0.8653010153978842,0.9646683673469388,0.910741764006222,48.2
True,False,False,1000,1.2,False,False,0.001,94.20276941622421,0.8196906772552921,0.8938402056246829,0.8401490802152916,0.9896225940426782,0.9021771318498073,0.9438417463102228,527.5,0.5816666666666667,0.625,0.565,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9919438885034108,0.9988916222495557,0.9954006454946704,270.6,0.4922074991014127,0.8777959183673468,0.630112910452195,49.9,0.863883448634461,0.966751700680272,0.9109380818965354,48.2
True,False,False,1000,1.2,True,False,2,95.47239293727442,0.7770646940303292,0.712312086545933,0.7358891890190968,0.9350511694376815,0.9903301276522338,0.961888580291242,527.5,0.0,0.0,0.0,3.3,0.9866977449603678,0.9924248606011151,0.9895397186623022,171.7,0.9925507601715726,0.9833743337433372,0.9879280577408428,270.6,0.7853606933170828,0.44681632653061226,0.5673714544065345,49.9,0.9627277962952702,0.8609268707482993,0.9086073230136595,48.2
True,False,False,1000,1.2,True,False,1,96.28453495826191,0.7745440775508746,0.7514916942910621,0.7601648293202263,0.9560275494693256,0.9838864211373698,0.9697431091208113,527.5,0.0,0.0,0.0,3.3,0.9907335857043906,0.9924248606011151,0.991558364513389,171.7,0.9936632683311446,0.984115074484078,0.9888515874568438,270.6,0.8202308747131987,0.617061224489796,0.7026779343582531,49.9,0.8866091870871877,0.9314625850340136,0.9081579804720612,48.2
True,False,False,1000,1.2,True,False,0.5,96.52727260058252,0.7791522146458117,0.7696776735703593,0.7739035360481566,0.9664901044691059,0.9780090995342418,0.9722022826100625,527.5,0.0,0.0,0.0,3.3,0.9953281173422261,0.9924248606011151,0.9938637717416198,171.7,0.9940350051526551,0.984115074484078,0.9890357303960696,270.6,0.7680945184076158,0.7113061224489795,0.7370548359433844,49.9,0.9509655425032681,0.9522108843537416,0.9512645955978039,48.2
True,False,False,1000,1.2,True,False,0.25,96.51795295232522,0.7740822695031971,0.77615559713556,0.7748128169072169,0.970352436195746,0.9732702978552126,0.9717955789372381,527.5,0.0,0.0,0.0,3.3,0.9970723412577687,0.9924248606011151,0.9947315615719103,171.7,0.9944177873758244,0.9852248189148556,0.9897798771823523,270.6,0.7385459168398391,0.7413877551020408,0.738647257063783,49.9,0.9441051353500051,0.9646258503401361,0.9539226266880181,48.2
True,False,False,1000,1.2,True,False,0.1,96.62996293044583,0.815956090477215,0.8376945254145941,0.8217050019353881,0.9734607921875768,0.9721314185498248,0.9727786945012584,527.5,0.24595238095238098,0.35833333333333334,0.27317460317460324,3.3,0.9982419319010436,0.9924248606011151,0.9953112420656618,171.7,0.9944177873758244,0.9852248189148556,0.9897798771823523,270.6,0.7415385034840434,0.7555102040816327,0.7473540022328035,49.9,0.9421251469624206,0.9625425170068027,0.9518315924556493,48.2
True,False,False,1000,1.2,True,False,0.01,96.75137965634015,0.846065376731822,0.8775002117894577,0.8489790917066028,0.9756690056308047,0.9715635961129319,0.9735985853225539,527.5,0.41863247863247866,0.6,0.43390637140637145,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9944355249677633,0.9892934262675958,0.9918261806793606,270.6,0.7415856912813437,0.7595510204081635,0.7496378601007503,49.9,0.9472495932954172,0.9521683673469388,0.9493044555924545,48.2
True,False,False,1000,1.2,True,False,0.001,97.00341952701478,0.8750817318228405,0.8745546202272786,0.8694094061549562,0.9753013861521233,0.9713734834109597,0.9733166284537285,527.5,0.5966666666666667,0.5666666666666667,0.5507142857142857,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9944973449955474,0.9988916222495557,0.996684375783903,270.6,0.7393242919083773,0.7595102040816327,0.7484340466661095,49.9,0.9458807346312034,0.9584608843537415,0.9517060031735858,48.2
