NaturalLanguageID	ProgrammingLanguageName	RepoID	SourceID	CommentID	Comment	Class	
EN	php	CodeIgniter	application/config/autoload.php	CodeIgniter/application/config/autoload.php/108	Auto-load Language files\nPrototype:\n$autoload['language'] = array('lang1', 'lang2');\nNOTE: Do not include the "_lang" part of your file. For example\n"codeigniter_lang.php" would be referenced as array('codeigniter');	Notice
EN	php	CodeIgniter	application/config/autoload.php	CodeIgniter/application/config/autoload.php/122	Auto-load Models\nPrototype:\n$autoload['model'] = array('first_model', 'second_model');\nYou can also supply an alternative model name to be assigned\nin the controller:\n$autoload['model'] = array('first_model' => 'first');	Notice
EN	php	CodeIgniter	application/config/autoload.php	CodeIgniter/application/config/autoload.php/33	Auto-load Packages\nPrototype:\n$autoload['packages'] = array(APPPATH.'third_party', '/usr/local/shared');	Notice
EN	php	CodeIgniter	application/config/autoload.php	CodeIgniter/application/config/autoload.php/4	AUTO-LOADER\nThis file specifies which systems should be loaded by default.\nIn order to keep the framework as light-weight as possible only the\nabsolute minimal resources are loaded by default. For example,\nthe database is not connected to automatically since no assumption\nis made regarding whether you intend to use it. This file lets\nyou globally define which systems you would like loaded with every\nrequest.\nInstructions\nThese are the things you can load automatically:\n1. Packages\n2. Libraries\n3. Drivers\n4. Helper files\n5. Custom config files\n6. Language files\n7. Models	Notice
EN	php	CodeIgniter	application/config/autoload.php	CodeIgniter/application/config/autoload.php/44	Auto-load Libraries\nThese are the classes located in system/libraries/ or your\napplication/libraries/ directory, with the addition of the\n'database' library, which is somewhat of a special case.\nPrototype:\n$autoload['libraries'] = array('database', 'email', 'session');\nYou can also supply an alternative library name to be assigned\nin the controller:\n$autoload['libraries'] = array('user_agent' => 'ua');	Notice
EN	php	CodeIgniter	application/config/autoload.php	CodeIgniter/application/config/autoload.php/63	Auto-load Drivers\nThese classes are located in system/libraries/ or in your\napplication/libraries/ directory, but are also placed inside their\nown subdirectory and they extend the CI_Driver_Library class. They\noffer multiple interchangeable driver options.\nPrototype:\n$autoload['drivers'] = array('cache');\nYou can also supply an alternative property name to be assigned in\nthe controller:\n$autoload['drivers'] = array('cache' => 'cch');	Notice
EN	php	CodeIgniter	application/config/autoload.php	CodeIgniter/application/config/autoload.php/84	Auto-load Helper Files\nPrototype:\n$autoload['helper'] = array('url', 'file');	Notice
EN	php	CodeIgniter	application/config/autoload.php	CodeIgniter/application/config/autoload.php/94	Auto-load Config files\nPrototype:\n$autoload['config'] = array('config1', 'config2');\nNOTE: This item is intended for use ONLY if you have created custom\nconfig files. Otherwise, leave it blank.	Notice
EN	php	CodeIgniter	application/config/config.php	CodeIgniter/application/config/config.php/28	Index File\nTypically this will be your index.php file, unless you've renamed it to\nsomething else. If you are using mod_rewrite to remove the page set this\nvariable so that it is blank.	Notice
EN	php	CodeIgniter	application/config/config.php	CodeIgniter/application/config/config.php/4	Base Site URL\nURL to your CodeIgniter root. Typically this will be your base URL,\nWITH a trailing slash:\nhttp://example.com/\nWARNING: You MUST set this value!\nIf it is not set, then CodeIgniter will try guess the protocol and path\nyour installation, but due to security concerns the hostname will be set\nto $_SERVER['SERVER_ADDR'] if available, or localhost otherwise.\nThe auto-detection mechanism exists only for convenience during\ndevelopment and MUST NOT be used in production!\nIf you need to allow multiple domains, remember that this file is still\na PHP script and you can easily do that on your own.	Notice
