Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
FALSE,FALSE,FALSE,1000,(1 1),FALSE,FALSE,97.49819704,0.885896744,0.891215312,0.883795453,0.971715777,0.982561382,0.977096286,527.5,0.553333333,0.691666667,0.600714286,3.3,0.994810785,0.998833809,0.99680986,171.7,1,0.999260626,0.999629628,270.6,0.803768866,0.689510204,0.740037425,49.9,0.991751701,0.985459184,0.988485231,48.2
FALSE,FALSE,FALSE,1000,(1 1),TRUE,FALSE,97.60087866,0.926868322,0.893055044,0.902625662,0.972623217,0.982559945,0.977552016,527.5,0.8,0.675,0.696666667,3.3,0.996534649,0.997082823,0.996797941,171.7,0.999630996,0.999260626,0.999444785,270.6,0.802711992,0.731510204,0.764291804,49.9,0.989709075,0.972916667,0.981000761,48.2
FALSE,FALSE,FALSE,1000,(1 1),FALSE,TRUE,97.61954409,0.935957678,0.889255383,0.90349256,0.969871323,0.985212897,0.977436927,527.5,0.825,0.675,0.70452381,3.3,0.995979607,0.997667619,0.996806319,171.7,0.999263349,0.999260626,0.999260623,270.6,0.82971342,0.701265306,0.756684773,49.9,0.995918367,0.97712585,0.986242908,48.2
FALSE,FALSE,FALSE,1000,(1 2),FALSE,FALSE,97.44218334,0.897511723,0.883692986,0.881624207,0.969762424,0.982750417,0.976177043,527.5,0.615,0.658333333,0.592619048,3.3,0.995947036,0.999418605,0.997677779,171.7,0.99962963,0.998890256,0.999259258,270.6,0.808812883,0.677306122,0.733465477,49.9,0.995918367,0.985459184,0.990546634,48.2
FALSE,FALSE,FALSE,1000,(1 2),TRUE,FALSE,97.49817091,0.917492866,0.898339343,0.900163275,0.970979185,0.982179719,0.976531469,527.5,0.755,0.733333333,0.701984127,3.3,0.997684384,0.998833809,0.99825408,171.7,1,0.999260626,0.999629628,270.6,0.78945859,0.701428571,0.741498094,49.9,0.991835034,0.975,0.983082255,48.2
FALSE,FALSE,FALSE,1000,(1 2),FALSE,TRUE,97.35819328,0.914211057,0.877389729,0.886632067,0.967633009,0.982182954,0.974789492,527.5,0.726190476,0.633333333,0.637380952,3.3,0.99768114,0.999418605,0.998545654,171.7,0.999630996,0.999260626,0.999444785,270.6,0.802380719,0.677183673,0.727578324,49.9,0.99175,0.972959184,0.982053194,48.2
FALSE,FALSE,FALSE,1000,(1 3),FALSE,FALSE,97.43286369,0.890307746,0.878747709,0.876020602,0.969934633,0.98237127,0.976081906,527.5,0.5775,0.625,0.558831169,3.3,0.996525071,0.999418605,0.997967634,171.7,0.99962963,0.998890256,0.999259258,270.6,0.802338773,0.681346939,0.733437009,49.9,0.995918367,0.985459184,0.990546634,48.2
FALSE,FALSE,FALSE,1000,(1 3),TRUE,FALSE,97.46084006,0.914531053,0.897956178,0.89835989,0.970782491,0.981421784,0.976052244,527.5,0.74,0.733333333,0.693650794,3.3,0.997687784,0.999418605,0.99854733,171.7,1,0.999260626,0.999629628,270.6,0.786881007,0.703469388,0.741396398,49.9,0.991835034,0.970833333,0.980882944,48.2
FALSE,FALSE,FALSE,1000,(1 3),FALSE,TRUE,97.3768587,0.905715885,0.871612915,0.879712936,0.967861624,0.982938733,0.97527398,527.5,0.676190476,0.6,0.597380952,3.3,0.998259175,0.999418605,0.998835509,171.7,0.999630996,0.999260626,0.999444785,270.6,0.80252461,0.677183673,0.727425775,49.9,0.989828431,0.97087585,0.979916616,48.2
FALSE,FALSE,TRUE,1000,(1 1),FALSE,FALSE,97.49821446,0.883928912,0.888144213,0.881490838,0.972776204,0.98104659,0.976876919,527.5,0.538333333,0.658333333,0.577619048,3.3,0.994820751,0.999418605,0.997103086,171.7,0.998532105,0.999260626,0.998893657,270.6,0.80911758,0.705346939,0.750935761,49.9,0.989993497,0.985459184,0.987516557,48.2
FALSE,FALSE,TRUE,1000,(1 1),TRUE,FALSE,97.73163245,0.930126573,0.891803945,0.903227779,0.972525176,0.985216851,0.978806236,527.5,0.791666667,0.666666667,0.688333333,3.3,0.997677544,0.997664219,0.997665859,171.7,0.998533452,0.999260626,0.99889298,270.6,0.828519866,0.733265306,0.775857435,49.9,0.991836735,0.96875,0.97981083,48.2
FALSE,FALSE,TRUE,1000,(1 1),FALSE,TRUE,97.65686623,0.931097009,0.886422485,0.897968839,0.971784644,0.984837344,0.978244253,527.5,0.792857143,0.641666667,0.66,3.3,0.99537858,0.997082823,0.99621823,171.7,0.998529382,0.998890256,0.998707449,270.6,0.830159967,0.72522449,0.770682577,49.9,0.99787234,0.970833333,0.983960522,48.2
FALSE,FALSE,TRUE,1000,(1 2),FALSE,FALSE,97.51686247,0.907190112,0.879916651,0.888224272,0.970150678,0.983509071,0.976746607,527.5,0.675,0.625,0.626666667,3.3,0.995950397,0.999418605,0.997677784,171.7,1,0.998890256,0.9994441,270.6,0.80612123,0.689306122,0.739338867,49.9,0.995918367,0.98337585,0.989471606,48.2
FALSE,FALSE,TRUE,1000,(1 2),TRUE,FALSE,97.51683634,0.923308452,0.90157611,0.906188899,0.971865709,0.980853243,0.97631993,527.5,0.791666667,0.733333333,0.728333333,3.3,0.997677544,0.997664219,0.997665859,171.7,1,0.999260626,0.999629628,270.6,0.78280746,0.725428571,0.751184,49.9,0.995833333,0.972916667,0.984000642,48.2
FALSE,FALSE,TRUE,1000,(1 2),FALSE,TRUE,97.22747432,0.894148616,0.898010705,0.890766445,0.971038458,0.976493229,0.973734417,527.5,0.6525,0.733333333,0.664307359,3.3,0.996528315,0.998833809,0.997674369,171.7,0.999260626,0.998890256,0.999074415,270.6,0.751729266,0.703387755,0.724570618,49.9,0.993835034,0.97712585,0.985237494,48.2
FALSE,FALSE,TRUE,1000,(1 3),FALSE,FALSE,97.59150675,0.908887841,0.881376306,0.889885569,0.970885222,0.984267006,0.977500669,527.5,0.675,0.625,0.626666667,3.3,0.995379006,0.999418605,0.997389604,171.7,1,0.998890256,0.9994441,270.6,0.816144452,0.697306122,0.748840771,49.9,0.995918367,0.98337585,0.989471606,48.2
FALSE,FALSE,TRUE,1000,(1 3),TRUE,FALSE,97.47949677,0.924787375,0.899382802,0.906267679,0.970591287,0.98123275,0.975865649,527.5,0.801666667,0.733333333,0.736666667,3.3,0.997680984,0.998249014,0.997960829,171.7,1,0.999260626,0.999629628,270.6,0.78503531,0.713387755,0.745588389,49.9,0.99375,0.970833333,0.981894912,48.2
FALSE,FALSE,TRUE,1000,(1 3),FALSE,TRUE,97.43281143,0.888807721,0.881596683,0.881540217,0.970799258,0.9814243,0.976054811,527.5,0.58,0.633333333,0.591190476,3.3,0.998259175,0.999418605,0.998835509,171.7,0.999260626,0.998890256,0.999074415,270.6,0.794906961,0.699387755,0.740954554,49.9,0.989620305,0.97712585,0.983131539,48.2
FALSE,TRUE,FALSE,1000,(1 1),FALSE,FALSE,97.66624685,0.905267045,0.908349587,0.901892127,0.971062354,0.985404448,0.978167758,527.5,0.627857143,0.791666667,0.689761905,3.3,0.994833739,0.998833809,0.996814839,171.7,1,0.999260626,0.999629628,270.6,0.839932365,0.685306122,0.753273183,49.9,0.997916667,0.98962585,0.993705448,48.2
FALSE,TRUE,FALSE,1000,(1 1),TRUE,FALSE,97.37676289,0.914261563,0.88869154,0.892090217,0.971064733,0.978957866,0.974977828,527.5,0.755,0.666666667,0.657698413,3.3,0.997684384,0.998833809,0.99825408,171.7,0.999632353,0.999260626,0.999445466,270.6,0.768352874,0.711346939,0.736997409,49.9,0.993835034,0.977083333,0.985168106,48.2
FALSE,TRUE,FALSE,1000,(1 1),FALSE,TRUE,97.35808005,0.930521837,0.874035244,0.889751268,0.968128143,0.982179719,0.975058183,527.5,0.827857143,0.608333333,0.651666667,3.3,0.995405013,0.998252414,0.996811434,171.7,0.998895702,0.999260626,0.999076461,270.6,0.792845023,0.681142857,0.72877934,49.9,1,0.975042517,0.987115525,48.2
FALSE,TRUE,FALSE,1000,(1 2),FALSE,FALSE,97.5821871,0.903286013,0.898016432,0.89421801,0.968219201,0.986730205,0.977372801,527.5,0.61,0.758333333,0.65952381,3.3,0.99595368,0.999418605,0.997679455,171.7,0.999260626,0.998890256,0.999075097,270.6,0.846282574,0.657183673,0.737973379,49.9,1,0.987542517,0.993683518,48.2
FALSE,TRUE,FALSE,1000,(1 2),TRUE,FALSE,97.32076662,0.927656384,0.879384678,0.893497831,0.968031587,0.980285061,0.974093094,527.5,0.835,0.633333333,0.68,3.3,0.998255775,0.998833809,0.998542259,171.7,1,0.999260626,0.999629628,270.6,0.774815912,0.687469388,0.72559613,49.9,0.989835034,0.97712585,0.983125875,48.2
FALSE,TRUE,FALSE,1000,(1 2),FALSE,TRUE,97.02202398,0.902057304,0.875212846,0.879177082,0.966127216,0.976871658,0.971426425,527.5,0.711190476,0.641666667,0.626190476,3.3,0.997687784,0.999418605,0.99854733,171.7,0.999630996,0.999260626,0.999444785,270.6,0.748046004,0.663183673,0.699550606,49.9,0.989661348,0.97087585,0.979902869,48.2
FALSE,TRUE,FALSE,1000,(1 3),FALSE,FALSE,97.45146815,0.896339587,0.884407176,0.883059621,0.966412063,0.985782157,0.975971381,527.5,0.570606061,0.691666667,0.604761905,3.3,0.99595368,0.999418605,0.997679455,171.7,0.999260626,0.998890256,0.999075097,270.6,0.845805092,0.643142857,0.727186368,49.9,1,0.987542517,0.993683518,48.2
FALSE,TRUE,FALSE,1000,(1 3),TRUE,FALSE,97.32078404,0.910748911,0.887755214,0.892286009,0.967887119,0.981421784,0.974576769,527.5,0.723333333,0.7,0.677936508,3.3,0.998259175,0.999418605,0.998835509,171.7,1,0.999260626,0.999629628,270.6,0.783262141,0.671387755,0.719723671,49.9,0.991751701,0.975042517,0.98301397,48.2
FALSE,TRUE,FALSE,1000,(1 3),FALSE,TRUE,97.13406009,0.893546237,0.879130378,0.877621032,0.966749364,0.979337732,0.972955796,527.5,0.638333333,0.666666667,0.608888889,3.3,0.997687784,0.999418605,0.99854733,171.7,1,0.999260626,0.999629628,270.6,0.766932662,0.661306122,0.705889218,49.9,0.991574278,0.968792517,0.979815333,48.2
FALSE,TRUE,TRUE,1000,(1 1),FALSE,FALSE,97.59148933,0.904089397,0.901935583,0.897749176,0.971418845,0.984457837,0.977877636,527.5,0.638333333,0.758333333,0.676428571,3.3,0.994268992,0.998833809,0.996528354,171.7,0.998530749,0.999260626,0.998892976,270.6,0.831990965,0.681102041,0.747123304,49.9,0.989993497,0.98962585,0.989644217,48.2
FALSE,TRUE,TRUE,1000,(1 1),TRUE,FALSE,97.41417214,0.928502563,0.888153239,0.897374638,0.970756664,0.980097105,0.975386345,527.5,0.835,0.666666667,0.689047619,3.3,0.997684384,0.998833809,0.99825408,171.7,0.998530749,0.999260626,0.998892976,270.6,0.777249361,0.711102041,0.74061319,49.9,0.991794218,0.972959184,0.982053619,48.2
FALSE,TRUE,TRUE,1000,(1 1),FALSE,TRUE,97.27417708,0.908421935,0.881415006,0.888455285,0.970917923,0.978202806,0.974504909,527.5,0.726666667,0.633333333,0.646666667,3.3,0.994826978,0.998252414,0.996521579,171.7,0.998894336,0.998890256,0.998890934,270.6,0.761353366,0.713102041,0.732270661,49.9,0.99787234,0.966709184,0.981876963,48.2
FALSE,TRUE,TRUE,1000,(1 2),FALSE,FALSE,97.51684505,0.903617773,0.893149231,0.893949666,0.968717105,0.9850253,0.976781625,527.5,0.636190476,0.725,0.664761905,3.3,0.99595368,0.999418605,0.997679455,171.7,0.99962963,0.998890256,0.999259258,270.6,0.821215744,0.665102041,0.732584868,49.9,1,0.985459184,0.992630886,48.2
FALSE,TRUE,TRUE,1000,(1 2),TRUE,FALSE,97.26481389,0.919052793,0.881955746,0.893153889,0.966797758,0.980663849,0.973659771,527.5,0.786666667,0.666666667,0.688333333,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999632353,0.999260626,0.999445466,270.6,0.769173498,0.669183673,0.713773929,49.9,0.993790708,0.97712585,0.985168573,48.2
FALSE,TRUE,TRUE,1000,(1 2),FALSE,TRUE,97.28345318,0.928502095,0.868263531,0.883873174,0.965310935,0.983127767,0.97408634,527.5,0.817857143,0.6,0.635,3.3,0.997687784,0.999418605,0.99854733,171.7,0.999261983,0.998890256,0.999075096,270.6,0.795150047,0.653102041,0.711405112,49.9,0.995744681,0.975042517,0.985125165,48.2
FALSE,TRUE,TRUE,1000,(1 3),FALSE,FALSE,97.51684505,0.904869813,0.89347151,0.895150861,0.968541873,0.984834828,0.976595153,527.5,0.643333333,0.725,0.671428571,3.3,0.99595368,0.999418605,0.997679455,171.7,0.99962963,0.998890256,0.999259258,270.6,0.821760361,0.665142857,0.73225921,49.9,1,0.987542517,0.993683518,48.2
FALSE,TRUE,TRUE,1000,(1 3),TRUE,FALSE,97.25546811,0.915221745,0.879784671,0.887435926,0.966467509,0.981802369,0.974053781,527.5,0.76,0.666666667,0.66047619,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999632353,0.999260626,0.999445466,270.6,0.775223131,0.657102041,0.709015166,49.9,0.991751701,0.975042517,0.983082693,48.2
FALSE,TRUE,TRUE,1000,(1 3),FALSE,TRUE,97.21810242,0.901367004,0.884595592,0.883255714,0.966455074,0.981042278,0.97366704,527.5,0.670833333,0.7,0.63525974,3.3,0.997687784,0.999418605,0.99854733,171.7,1,0.999260626,0.999629628,270.6,0.779435124,0.661142857,0.7127093,49.9,0.993790708,0.966709184,0.979721243,48.2
TRUE,FALSE,FALSE,1000,(1 1),FALSE,FALSE,97.47019455,0.885319029,0.886683686,0.88179386,0.97153038,0.982371629,0.976906478,527.5,0.555,0.666666667,0.592380952,3.3,0.994810785,0.998833809,0.99680986,171.7,1,0.999260626,0.999629628,270.6,0.798821308,0.687510204,0.736551011,49.9,0.991751701,0.985459184,0.988485231,48.2
TRUE,FALSE,FALSE,1000,(1 1),TRUE,FALSE,97.53555402,0.926722443,0.890372264,0.900804587,0.97118825,0.982748979,0.976908466,527.5,0.8,0.675,0.696666667,3.3,0.997112684,0.997082823,0.997087796,171.7,0.999630996,0.999260626,0.999444785,270.6,0.802693651,0.71522449,0.753719045,49.9,0.989709075,0.972916667,0.981000761,48.2
TRUE,FALSE,FALSE,1000,(1 1),FALSE,TRUE,97.6101896,0.93212836,0.881889641,0.897470528,0.968621706,0.986351777,0.977368326,527.5,0.791666667,0.641666667,0.671190476,3.3,0.996538049,0.997667619,0.997091191,171.7,0.999263349,0.999260626,0.999260623,270.6,0.840762023,0.689265306,0.753669642,49.9,0.995918367,0.97712585,0.986242908,48.2
