Lower Case,Remove Stop Words,Stem,Test Size,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support
True,False,False,0.25,1000,(1 1),False,False,False,93.3159073935773,0.9553571428571429,0.9413489736070382,0.948301329394387,682,0.8035714285714286,0.7468879668049793,0.7741935483870968,241,0.8253968253968254,0.91,0.8656361474435196,400,0.8,0.6666666666666666,0.7272727272727272,6,0.9879518072289156,1.0,0.993939393939394,410,1.0,0.9985358711566618,0.9992673992673992,683,0.8346456692913385,0.7361111111111112,0.7822878228782288,144
True,False,False,0.25,1000,(1 1),True,False,False,94.1747572815534,0.9625748502994012,0.9582712369597616,0.960418222554145,671,0.8493150684931506,0.7530364372469636,0.798283261802575,247,0.8298368298368298,0.9270833333333334,0.8757687576875769,384,1.0,0.5714285714285714,0.7272727272727273,7,0.9868995633187773,1.0,0.9934065934065934,452,1.0,1.0,1.0,681,0.81,0.6923076923076923,0.7465437788018433,117
True,False,False,0.25,1000,(1 1),False,False,True,93.83868558625839,0.9658246656760773,0.9420289855072463,0.9537784299339692,690,0.8061674008810573,0.7887931034482759,0.7973856209150327,232,0.8188235294117647,0.9206349206349206,0.866749688667497,378,0.42857142857142855,1.0,0.6,3,0.9933184855233853,0.9977628635346756,0.9955357142857142,447,0.9970972423802612,1.0,0.9985465116279069,687,0.8762886597938144,0.6746031746031746,0.7623318385650224,126
True,False,False,0.25,1000,(1 2),False,False,False,93.24122479462285,0.9607843137254902,0.9409158050221565,0.9507462686567164,677,0.7704918032786885,0.8,0.7849686847599164,235,0.8367816091954023,0.900990099009901,0.867699642431466,404,0.36363636363636365,0.8,0.5000000000000001,5,0.9906542056074766,0.9976470588235294,0.9941383352872216,425,1.0,1.0,1.0,678,0.8333333333333334,0.6106870229007634,0.7048458149779735,131
True,False,False,0.25,1000,(1 2),True,False,False,94.24943988050785,0.9725829725829725,0.9573863636363636,0.9649248389405869,704,0.8326180257510729,0.7791164658634538,0.8049792531120332,249,0.8164251207729468,0.9184782608695652,0.8644501278772379,368,0.625,0.625,0.625,8,0.995260663507109,0.997624703087886,0.9964412811387899,421,1.0,1.0,1.0,689,0.8494623655913979,0.6929824561403509,0.7632850241545894,114
True,False,False,0.25,1000,(1 2),False,False,True,93.5026138909634,0.9648854961832061,0.9590288315629742,0.9619482496194824,659,0.8409090909090909,0.7283464566929134,0.7805907172995782,254,0.8165137614678899,0.9104859335038363,0.8609431680773882,391,0.35294117647058826,0.75,0.48,8,0.9828850855745721,1.0,0.9913686806411837,402,1.0,1.0,1.0,703,0.8434782608695652,0.708029197080292,0.76984126984127,137
True,False,False,0.25,1000,(1 3),False,False,False,93.61463778939508,0.9685157421289355,0.957037037037037,0.9627421758569299,675,0.8391304347826087,0.7394636015325671,0.7861507128309573,261,0.8255813953488372,0.9196891191709845,0.8700980392156863,386,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,0.986046511627907,1.0,0.9929742388758782,424,1.0,1.0,1.0,689,0.7387387387387387,0.6721311475409836,0.7038626609442059,122
True,False,False,0.25,1000,(1 3),True,False,False,93.95070948469007,0.9717514124293786,0.9424657534246575,0.9568845618915159,730,0.815668202764977,0.7763157894736842,0.7955056179775281,228,0.8325892857142857,0.9255583126550868,0.8766157461809636,403,0.8,0.8,0.8000000000000002,10,0.9899749373433584,1.0,0.9949622166246851,395,0.9969325153374233,0.9984639016897081,0.997697620874904,651,0.8363636363636363,0.7244094488188977,0.7763713080168776,127
True,False,False,0.25,1000,(1 3),False,False,True,93.80134428678119,0.9675036927621861,0.9424460431654677,0.9548104956268222,695,0.8714285714285714,0.71484375,0.7854077253218884,256,0.7931818181818182,0.9407008086253369,0.8606658446362516,371,0.4,0.4,0.4000000000000001,5,0.995249406175772,0.9976190476190476,0.9964328180737217,420,0.9985611510791367,1.0,0.9992800575953923,694,0.8360655737704918,0.796875,0.816,128
True,False,False,0.25,5000,(1 1),False,False,False,93.5026138909634,0.9525925925925925,0.9428152492668622,0.9476787030213707,682,0.819327731092437,0.7959183673469388,0.8074534161490683,245,0.8108108108108109,0.9041095890410958,0.8549222797927462,365,0.7,0.5833333333333334,0.6363636363636365,12,0.9914529914529915,0.9978494623655914,0.9946409431939979,465,1.0,1.0,1.0,652,0.8602150537634409,0.6451612903225806,0.7373271889400922,124
True,False,False,0.25,5000,(1 1),True,False,False,93.6519790888723,0.9659763313609467,0.950509461426492,0.9581804842259721,687,0.8051948051948052,0.8017241379310345,0.8034557235421166,232,0.812933025404157,0.9072164948453608,0.8574908647990255,388,0.4444444444444444,1.0,0.6153846153846153,4,0.9891067538126361,1.0,0.9945235487404162,454,0.9984375,1.0,0.9992181391712275,639,0.9166666666666666,0.6513157894736842,0.7615384615384615,152
True,False,False,0.25,5000,(1 1),False,False,True,94.21209858103062,0.96996996996997,0.957037037037037,0.9634601043997016,675,0.8571428571428571,0.7622950819672131,0.806941431670282,244,0.8175182481751825,0.9230769230769231,0.8670967741935484,364,0.5714285714285714,0.8,0.6666666666666666,5,0.9933035714285714,0.9977578475336323,0.9955257270693512,446,1.0,1.0,1.0,690,0.811965811965812,0.7142857142857143,0.7600000000000001,133
True,False,False,0.25,5000,(1 2),False,False,False,93.68932038834951,0.9633587786259542,0.9460269865067467,0.9546142208774585,667,0.8,0.7333333333333333,0.7652173913043478,240,0.8166666666666667,0.927027027027027,0.8683544303797469,370,0.5555555555555556,0.625,0.5882352941176471,8,0.9954233409610984,1.0,0.9977064220183486,435,1.0,1.0,1.0,703,0.8446601941747572,0.6904761904761905,0.759825327510917,126
True,False,False,0.25,5000,(1 2),True,False,False,93.6519790888723,0.9469026548672567,0.9539375928677564,0.9504071058475204,673,0.8893617021276595,0.76,0.819607843137255,275,0.8147268408551069,0.9245283018867925,0.8661616161616162,371,0.5384615384615384,0.875,0.6666666666666667,8,0.9864559819413092,0.997716894977169,0.9920544835414302,438,1.0,1.0,1.0,656,0.8571428571428571,0.7034482758620689,0.7727272727272727,145
