Lower Case,Remove Stop Words,Stem,Test Size,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support
True,False,False,0.25,1000,(1 1),False,False,False,96.52725914861837,0.9911373707533235,0.9613180515759312,0.976,698,0.8975409836065574,0.8588235294117647,0.8777555110220442,255,0.8789954337899544,0.9746835443037974,0.9243697478991597,395,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.9952038369304557,1.0,0.9975961538461539,415,0.9984375,1.0,0.9992181391712275,639,0.96,0.8633093525179856,0.9090909090909091,139
True,False,False,0.25,1000,(1 1),True,False,False,96.48991784914115,0.9953271028037384,0.9696509863429439,0.9823212913143735,659,0.8979591836734694,0.8870967741935484,0.8924949290060852,248,0.8587962962962963,0.961139896373057,0.9070904645476773,386,0.875,0.6363636363636364,0.7368421052631579,11,0.9976303317535545,1.0,0.9988137603795968,421,1.0,1.0,1.0,698,0.9705882352941176,0.792,0.8722466960352424,125
True,False,False,0.25,1000,(1 1),False,False,True,96.30321135175504,0.9912536443148688,0.9618104667609618,0.9763101220387652,707,0.902834008097166,0.87109375,0.8866799204771372,256,0.8571428571428571,0.9777777777777777,0.9134948096885812,405,1.0,0.375,0.5454545454545454,8,0.9976905311778291,1.0,0.9988439306358381,432,0.9984496124031008,1.0,0.9992242048099302,644,0.9902912621359223,0.8031496062992126,0.8869565217391304,127
True,False,False,0.25,1000,(1 2),False,False,False,96.7513069454817,0.9939024390243902,0.9574155653450808,0.975317875841436,681,0.8918918918918919,0.8761061946902655,0.8839285714285714,226,0.8806306306306306,0.9824120603015075,0.9287410926365796,398,0.75,0.6,0.6666666666666665,5,0.9976415094339622,1.0,0.998819362455726,423,0.9985549132947977,0.9985549132947977,0.9985549132947977,692,0.9719626168224299,0.8455284552845529,0.9043478260869565,123
True,False,False,0.25,1000,(1 2),True,False,False,96.07916355489171,0.9848484848484849,0.9516837481698389,0.967982129560685,683,0.9027237354085603,0.8656716417910447,0.8838095238095238,268,0.8490990990990991,0.9691516709511568,0.9051620648259304,389,0.875,0.875,0.875,8,1.0,1.0,1.0,415,1.0,1.0,1.0,684,0.978494623655914,0.7982456140350878,0.8792270531400967,114
True,False,False,0.25,1000,(1 2),False,False,True,96.30321135175504,0.9954819277108434,0.9621542940320232,0.9785344189489268,687,0.889344262295082,0.8714859437751004,0.8803245436105477,249,0.8597285067873304,0.9743589743589743,0.9134615384615383,390,0.3333333333333333,0.2,0.25,5,0.9975247524752475,1.0,0.9987608426270136,403,0.998567335243553,1.0,0.9992831541218639,697,0.9702970297029703,0.7903225806451613,0.8711111111111111,124
True,False,False,0.25,1000,(1 3),False,False,False,97.12471994025393,0.9924012158054711,0.9688427299703264,0.9804804804804804,674,0.9244444444444444,0.8851063829787233,0.9043478260869564,235,0.8946188340807175,0.9779411764705882,0.9344262295081968,408,0.7,0.7777777777777778,0.7368421052631577,9,0.9951573849878934,1.0,0.9975728155339806,411,1.0,1.0,1.0,697,0.972972972972973,0.8571428571428571,0.9113924050632912,126
True,False,False,0.25,1000,(1 3),True,False,False,95.8924570575056,0.9890965732087228,0.9621212121212122,0.9754224270353302,660,0.8961538461538462,0.8825757575757576,0.8893129770992366,264,0.8367346938775511,0.9584415584415584,0.8934624697336563,385,0.7777777777777778,0.5833333333333334,0.6666666666666666,12,0.9975669099756691,1.0,0.9987819732034106,410,1.0,1.0,1.0,694,0.9896907216494846,0.7441860465116279,0.8495575221238938,129
True,False,False,0.25,1000,(1 3),False,False,True,96.00448095593727,0.9864864864864865,0.9549418604651163,0.9704579025110783,688,0.9132231404958677,0.8435114503816794,0.8769841269841269,262,0.8442437923250564,0.9739583333333334,0.9044740024183797,384,0.875,0.7,0.7777777777777777,10,0.9951338199513382,1.0,0.9975609756097561,409,0.9985294117647059,1.0,0.9992641648270787,679,0.9615384615384616,0.819672131147541,0.8849557522123893,122
True,False,False,0.25,5000,(1 1),False,False,False,96.15384615384616,0.9859375,0.9633587786259542,0.9745173745173745,655,0.9137254901960784,0.8566176470588235,0.8842504743833016,272,0.8584474885844748,0.9690721649484536,0.9104116222760291,388,0.875,0.6363636363636364,0.7368421052631579,11,0.9953051643192489,0.9976470588235294,0.9964747356051704,425,0.9985422740524781,1.0,0.99927060539752,685,0.9464285714285714,0.8217054263565892,0.8796680497925312,129
